year,production,capture,consumption
1961,86172,828628,10.24
1962,89263,857937,10.12
1963,88224,850976,9.68
1964,93148,910852,10.1
1965,93898,980902,10.49
1966,104339,1137261,11.51
1967,112101,1086299,11.03
1968,104175,1075825,10.46
1969,105690,1129110,10.63
1970,108706,1148494,10.43
1971,114121,1159181,10.22
1972,118952,1177852,10.03
1973,129830,1164611,9.87
1974,136244,1225698,10.14
1975,149633,1226933,10.15
1976,156744,1329767,10.68
1977,173780,1414037,11.14
1978,189266,1478892,11.25
1979,202202,1567885,11.55
1980,225296,1652660,12.07
1981,269959,1677030,12.27
1982,273541,1753048,12.36
1983,303941,1944527,13.28
1984,330764,1982327,13.61
1985,359626,2093069,13.81
1986,411552,2196212,14.14
1987,456727,2306077,14.34
1988,499597,2462514,14.88
1989,527897,2576870,15.15
1990,599824,2668521,14.93
1991,607507,2816195,15.15
1992,645368,2983772,16
1993,710414,3212909,16.57
1994,703522,3453274,17.53
1995,743092,3645428,17.82
1996,881098,3767439,18.82
1997,777547,3918472,19.04
1998,747007,4024958,19.07
1999,882989,4018532.5,19.67
2000,993727,4168921.5,20.63
2001,1076749,4349342,21.6
2002,1137151,4420029,21.07
2003,1228559,4710291,20.99
2004,1468612,4754105,21.19
2005,2124093,4721419,22.06
2006,2479247,4818814,22.59
2007,3137376,5060086,24.14
2008,3854944,5019071,25.15
2009,4712846,5128007,25.55
2010,6277924,5402213,27.22
2011,7937071,5776454,28.87
2012,9599765,5883521,28.52
2013,13301408,6157745,28.17
2014,14375287,6550715,36.96
2015,15649311,6760874,38.28
2016,16002319,6595077,39.32
2017,16118238,6790477.5,44.67
